ATC_code
A07AA
A07AB
A07AX03
A07AX04
D06AA
D06AX
D06BA
J01
J04AB
QJ01
QJ51
G01AA
G01AE
G01BA
G01BE
QP51AG
QP51AH
QJ02AA
QA07AA
QA07AB
QA07AX03
QA07AX04
QG01AA
QD06AA
QD06BA
QG01AE
QG01BA
QG01BE
QG51AA
QS01AA
QS02CA
S01AA
S01AX
S01CA
S02AA
S03CA
