handelsvarakod;atc_kod
ZAC00;QJ01FA95
"";QJ01CR02
"";QJ01CR02
"";QJ01FF01
"";QJ01FF01
ECO91;QJ01XQ02
PEN00;QJ01CE09
PEN00;QJ01CE09
AIV51;QJ01FA92
CEF50;QJ01DD90
EQC40;QJ01EW10
PRC00;QJ01CE09
ECO50;QJ01X
NAX02;QJ01DD90
CEF50;QJ01DD90
CEF50;QJ01DD90
CEF50;QJ01DD90
CEF50;QJ01DD90
ZAC00;QJ01FA95
ECO91;QJ01XQ02
"";QJ01CR02
"";QJ01CR02
ENR00;QJ01MA90
ENR00;QJ01MA90
CET00;QJ01DD90
ZAC00;QJ01FA95
"";QJ01MA
"";QJ01MA
"";QJ01MA
"";QJ01MA
FEO00;QJ01MA90
"";QJ01MA96
"";QJ01MA96
"";QJ01CA04
"";QJ01CA04
"";QJ01CA04
"";QJ01CA04
"";QJ01DB01
"";QJ01DB01
"";QJ01MA90
"";QJ01MA90
"";QJ01MA90
FLO00;QJ01BA90
FLO00;QJ01BA90
"";QJ01MA93
"";QJ01MA93
"";QJ01MA93
"";QJ01CR02
"";QJ01CR02
"";QJ01CR02
"";QJ01DB01
"";QJ01CR02
"";QJ01CR02
"";QJ01CR02
EQC40;QJ01EW10
"";QJ01CR02
"";QJ01CR02
"";QJ01CR02
"";QJ01DD91
"";QJ01FF01
UPA00;QJ01CE09
UPA00;QJ01CE09
UPA00;QJ01CE09
UPA00;QJ01CE09
"";QJ01DB01
"";QJ01DB01
"";QJ01CE09
"";QJ01AA03
"";QJ01AA03
"";QJ01MA90
"";QJ01CA04
"";QJ01CA04
"";QJ01CR02
"";QJ01CR02
"";QJ01C
"";QJ01AA03
"";QJ01AA02
"";QJ01AA02
"";QJ01MA93
"";QJ01CA
"";QJ01
"";QJ01CE09
"";QJ01AA02
"";QJ01MA93
"";QJ01AA02
"";QJ01AA06
"";QJ01DB01
"";QJ01DB01
"";QJ01AA06
"";QJ01AA06
"";QJ01AA02
ZUP00;QJ01FA96
MAX50;QJ01CA04
"";QJ01EW
"";QJ01AA06
"";QJ01MB05
"";QJ01BA90
"";QJ01AA06
"";QJ01AA06
"";QJ01FA95
